Time;V ph.angle phase A;V ph.angle phase B;V ph.angle phase C
2019-03-19T01:12:49+01:00;2.952989;0.859141;2.563699
2019-03-19T01:12:50+01:00;1.518783;-0.57338;1.819657
2019-03-19T01:12:51+01:00;0.490719;-1.603547;-0.505073
2019-03-19T01:12:52+01:00;-0.393698;-2.489292;null
2019-03-19T01:12:54+01:00;2.91281;0.817827;-2.513426
2019-03-19T01:12:55+01:00;1.668397;-0.423753;0.095944
2019-03-19T01:12:56+01:00;0.814602;-1.277798;-0.380244
2019-03-19T01:13:01+01:00;-1.479266;2.711709;-0.055721
2019-03-19T01:13:02+01:00;-2.305871;1.884732;2.369775
2019-03-19T01:13:07+01:00;-1.948367;2.243066;-0.745807
2019-03-19T01:13:08+01:00;-3.009459;1.182798;-1.201636
2019-03-19T01:13:09+01:00;1.58061;-0.511726;-0.479824
2019-03-19T01:13:11+01:00;-2.034506;2.156035;-2.115913
2019-03-19T01:13:12+01:00;-3.050726;1.140537;0.454168
2019-03-19T01:13:13+01:00;2.135935;0.044821;-1.078092
2019-03-19T01:13:18+01:00;2.770442;0.679966;0.224764
2019-03-19T01:13:19+01:00;1.674405;-0.417364;0.576936
2019-03-19T01:13:24+01:00;2.020239;-0.07179;-0.423453
2019-03-19T01:13:25+01:00;0.833114;-1.259068;0.708824
2019-03-19T01:13:26+01:00;0.042672;-2.050522;1.234081
2019-03-19T01:13:33+01:00;-0.30827;-2.400913;0.477978
2019-03-19T01:13:34+01:00;-1.080906;3.111199;-2.570494
2019-03-19T01:13:35+01:00;-1.850406;2.340538;null
2019-03-19T01:13:40+01:00;0.902546;-1.19065;-0.604803
2019-03-19T01:13:41+01:00;-0.188736;-2.281235;-2.877528
2019-03-19T01:13:48+01:00;3.077177;0.983842;0.60001
2019-03-19T01:13:49+01:00;2.187262;0.095074;0.945944
2019-03-19T01:13:57+01:00;0.027543;-2.064743;-1.477496
2019-03-19T01:13:58+01:00;-1.050553;3.141332;2.03965
2019-03-19T01:14:03+01:00;-2.183767;2.006907;-2.188124
2019-03-19T01:14:04+01:00;3.041237;0.948065;0.382375
2019-03-19T01:14:05+01:00;1.979113;-0.112254;1.740684
2019-03-19T01:14:07+01:00;null;null;-2.736195
2019-03-19T01:14:08+01:00;-1.078588;3.114141;-0.910848
2019-03-19T01:14:09+01:00;-2.067992;2.12256;-2.356477
2019-03-19T01:14:10+01:00;3.073657;0.979391;0.708291
2019-03-19T01:14:11+01:00;2.294369;0.203791;2.977278
2019-03-19T01:14:14+01:00;-0.491566;-2.587388;0.704098
2019-03-19T01:14:15+01:00;-1.149627;3.043057;1.292197
2019-03-19T01:14:20+01:00;-0.319478;-2.411536;-2.901481
2019-03-19T01:14:21+01:00;-1.385641;2.805421;-1.728122
2019-03-19T01:14:22+01:00;-2.653358;1.539408;1.25959
2019-03-19T01:14:27+01:00;-1.740869;2.450636;-2.34507
2019-03-19T01:14:28+01:00;-3.12284;1.067566;1.845587
2019-03-19T01:14:31+01:00;-1.988947;2.201725;2.809103
2019-03-19T01:14:32+01:00;2.62887;0.538955;0.509706
2019-03-19T01:14:33+01:00;0.568552;-1.526057;-0.146331
2019-03-19T01:14:34+01:00;-0.543409;-2.639363;2.662246
2019-03-19T01:14:35+01:00;0.309285;-1.783284;0.799525
2019-03-19T01:14:38+01:00;1.365217;-0.726801;-0.450118
2019-03-19T01:14:39+01:00;0.184284;-1.90997;-1.833877
2019-03-19T01:14:44+01:00;1.366113;-0.726726;0.898827
2019-03-19T01:14:45+01:00;0.532694;-1.562154;-2.582557
2019-03-19T01:14:51+01:00;-0.331044;-2.427342;-2.859984
2019-03-19T01:14:52+01:00;-1.504342;2.68698;2.173841
2019-03-19T01:14:55+01:00;0.429585;-1.664435;-1.651535
2019-03-19T01:14:56+01:00;-0.722275;-2.815735;0.319377
2019-03-19T01:14:57+01:00;-1.327341;2.865903;2.959723
2019-03-19T01:14:58+01:00;-2.127378;2.063462;-2.635945
2019-03-19T01:15:01+01:00;0.855591;-1.23712;1.196461
2019-03-19T01:15:02+01:00;2.191044;0.100149;-2.389241
2019-03-19T01:15:03+01:00;null;-0.657143;2.857352
2019-03-19T01:15:04+01:00;0.807446;-1.285711;-0.048264
2019-03-19T01:15:05+01:00;-0.405267;-2.500232;-1.32573
2019-03-19T01:15:08+01:00;1.925856;-0.165698;1.363044
2019-03-19T01:15:09+01:00;0.838125;-1.254733;-1.590767
2019-03-19T01:15:12+01:00;2.891909;0.797491;2.060993
2019-03-19T01:15:13+01:00;2.174365;0.083535;1.782745
2019-03-19T01:15:14+01:00;1.418575;-0.673215;-2.237717
2019-03-19T01:15:15+01:00;0.661373;-1.433347;-1.553702
2019-03-19T01:15:18+01:00;2.397579;0.305842;1.055905
2019-03-19T01:15:19+01:00;1.101673;-0.990746;0.534836
2019-03-19T01:15:20+01:00;-0.430949;-2.526542;-1.882272
2019-03-19T01:15:21+01:00;-1.192165;2.999627;-2.160222
