Time;I ph.angle phase A;I ph.angle phase B;I ph.angle phase C
2019-03-19T01:15:02+01:00;2.995461;0.665942;-2.31378
2019-03-19T01:15:03+01:00;2.067158;0.247459;-1.673904
2019-03-19T01:15:04+01:00;1.559173;-0.674437;-2.064735
2019-03-19T01:15:05+01:00;0.333246;-1.667614;-2.946045
2019-03-19T01:15:08+01:00;2.555877;0.395142;-1.798362
2019-03-19T01:15:09+01:00;1.601434;-0.6863;-1.412729
2019-03-19T01:15:11+01:00;null;null;1.687561
2019-03-19T01:15:12+01:00;-2.788922;1.473292;-1.211039
2019-03-19T01:15:13+01:00;2.882406;0.976774;-0.214418
2019-03-19T01:15:14+01:00;2.124132;0.206581;-0.543877
2019-03-19T01:15:15+01:00;1.292976;-0.63443;2.709642
2019-03-19T01:15:18+01:00;3.102981;1.031257;-1.258451
